Timestamp,Vehicle_Count
2022-02-12 13-10-55,9
2022-02-12 13-15-35,12
2022-02-12 13-21-56,11
2022-02-12 13-26-56,11
2022-02-12 13-32-36,10
2022-02-12 13-37-36,14
2022-02-12 13-41-56,10
2022-02-12 13-50-37,8
2022-02-12 13-56-17,12
2022-02-12 14-02-17,9
2022-02-12 14-07-17,9
2022-02-12 14-12-17,7
2022-02-12 14-19-18,10
2022-02-12 14-23-18,12
2022-02-12 14-26-18,14
2022-02-12 14-31-58,11
2022-02-12 14-38-18,9
2022-02-12 14-45-38,10
2022-02-12 14-47-59,7
2022-02-12 14-52-19,9
2022-02-12 14-56-59,10
2022-02-12 15-01-59,5
2022-02-12 15-05-19,14
2022-02-12 15-11-19,4
2022-02-12 15-15-19,6
2022-02-12 15-21-40,3
2022-02-12 15-25-00,6
2022-02-12 15-31-40,6
2022-02-12 15-36-00,8
2022-02-12 15-40-40,10
2022-02-12 15-44-40,10
2022-02-12 15-51-01,10
2022-02-12 15-57-41,7
2022-02-12 16-01-41,11
2022-02-12 16-05-01,8
2022-02-12 16-09-41,14
2022-02-12 16-14-41,15
2022-02-12 16-21-02,4
2022-02-12 16-29-02,5
2022-02-12 16-31-42,7
2022-02-12 16-35-02,9
2022-02-12 16-41-02,8
2022-02-12 16-47-22,9
2022-02-12 16-51-02,8
2022-02-12 16-56-43,18
2022-02-12 17-01-43,12
2022-02-12 17-08-23,8
2022-02-12 17-11-23,14
2022-02-12 17-16-43,10
2022-02-12 17-23-23,5
2022-02-12 17-26-04,8
2022-02-12 17-32-24,8
2022-02-12 17-35-04,12
2022-02-12 17-40-44,8
2022-02-12 17-44-44,11
2022-02-12 17-50-04,12
2022-02-12 17-55-45,10
2022-02-12 18-00-45,12
2022-02-12 18-06-05,10
2022-02-12 18-08-45,20
2022-02-12 18-21-06,16
2022-02-12 18-25-26,13
2022-02-12 18-30-26,22
2022-02-12 18-36-06,19
2022-02-12 18-40-46,14
2022-02-12 18-44-46,6
2022-02-12 18-51-47,10
2022-02-12 18-55-07,14
2022-02-12 18-59-07,11
2022-02-12 19-05-27,15
2022-02-12 19-08-47,6
2022-02-12 19-21-08,9
2022-02-12 19-24-28,9
2022-02-12 19-28-48,10
2022-02-12 19-39-08,9
2022-02-12 19-44-29,2
2022-02-12 19-50-09,4
2022-02-12 19-56-49,3
2022-02-12 19-59-29,0
2022-02-12 20-05-29,3
2022-02-12 20-09-30,3
2022-02-12 20-15-10,1
